Option,416_default_config,config_v8_bare_2
CONFIG_MEMORY_NOTIFIER_ERROR_INJECT,m,
CONFIG_IIO_ST_PRESS_I2C,m,
CONFIG_TABLET_USB_ACECAD,m,
CONFIG_CRYPTO_DEV_CCP_DD,m,
CONFIG_KINGSUN_DONGLE,m,
CONFIG_ATLAS_PH_SENSOR,m,
CONFIG_FB_S1D13XXX,m,
CONFIG_HSA_AMD,m,
CONFIG_FB_UDL,m,
CONFIG_DELL_SMBIOS_SMM,y,
CONFIG_KS959_DONGLE,m,
CONFIG_BACKLIGHT_LV5207LP,m,
CONFIG_MXM_WMI,m,
CONFIG_TOUCHSCREEN_SURFACE3_SPI,m,
CONFIG_MAX30102,m,
CONFIG_HP03,m,
CONFIG_FUJITSU_TABLET,m,
CONFIG_USB_IRDA,m,
CONFIG_PANASONIC_LAPTOP,m,
CONFIG_RTC_DRV_SPEAR,,y
CONFIG_DELL_WMI_DESCRIPTOR,m,
CONFIG_AFE4403,m,
CONFIG_FB_ARK,m,
CONFIG_TABLET_USB_PEGASUS,m,
CONFIG_LCD_VGG2432A4,m,
CONFIG_AMD_NUMA,y,
CONFIG_FB_CARMINE,m,
CONFIG_INFINIBAND_OPA_VNIC,m,
CONFIG_BACKLIGHT_PM8941_WLED,m,
CONFIG_HTC_PASIC3,m,
CONFIG_NVDIMM_PFN,y,
CONFIG_PINCTRL_AMD,y,
CONFIG_HP_WMI,m,
CONFIG_SI7020,m,
CONFIG_BMP280_SPI,m,
CONFIG_JOYSTICK_WARRIOR,m,
CONFIG_XEN_BALLOON_MEMORY_HOTPLUG_LIMIT,512,
CONFIG_TOUCHSCREEN_MC13783,m,
CONFIG_INFINIBAND_USER_MEM,y,
CONFIG_TOUCHSCREEN_PIXCIR,m,
CONFIG_SENSORS_HDAPS,m,
CONFIG_TOUCHSCREEN_SX8654,m,
CONFIG_SI7005,m,
CONFIG_TABLET_USB_HANWANG,m,
CONFIG_FB_TRIDENT,m,
CONFIG_MEMORY_HOTPLUG_SPARSE,y,
CONFIG_TOUCHSCREEN_DYNAPRO,m,
CONFIG_ABP060MG,m,
CONFIG_SURFACE_PRO3_BUTTON,m,
CONFIG_FB_MATROX_MILLENIUM,y,
CONFIG_DELL_SMO8800,m,
